Country,Murders,GDP,Recovered,Active,Population,Continent
Afghanistan,625,5,33064,5166,38928341,Asia
Albania,325,90,9406,5409,2877800,Europe
Algeria,1500,120,37170,13975,43851043,Africa
Angola,500,625,2716,3312,32866268,Africa
Argentina,660,850,709464,150837,45195777,South America
Armenia,26,23,45771,8949,2963234,Europe
Australia,88,1675,24987,1378,25499881,Oceania
Austria,7,1250,42829,10742,9006400,Europe
Azerbaijan,194,210,39235,1909,10139175,Europe
Bahrain,10,260,70808,4206,1701583,Asia
Bangladesh,1205,460,291365,80208,164689383,Asia
Belarus,267,125,76543,5043,9449321,Europe
Belgium,37,578,20202,126554,11589616,Europe
Belize,5,126,1487,905,397621,North America
Benin,60,69,1973,397,12123198,Africa
Bhutan,15,65,287,19,771612,Asia
Bolivia,112,125,100786,29385,11673029,South America
Bosnia and Herzegovina,2,98,23370,6048,3280815,Europe
Botswana,120,12,834,2367,2351625,Africa
Brazil,15326,1920,4502854,403395,212559409,South America
Brunei,2,25,143,0,437479,Asia
Bulgaria,51,690,15818,7610,6948445,Europe
Burma,45,25,7050,18416,54409800,Asia
Burundi,25,12,472,44,11890781,Africa
Cambodia,25,340,277,6,16718971,Asia
Canada,143,2139,153857,19249,37742157,North America
Central African Republic,25,125,1924,2868,4829764,Africa
Chad,25,23,1103,96,16425859,Africa
Chile,146,126,452054,14269,19116209,South America
China,210,17963,85658,381,1439323774,Asia
Colombia,15642,250,783131,91956,50882884,South America
Congo,25,23,10242,323,5518092,Africa
Costa Rica,75,12,52669,33694,5094114,North America
Croatia,21,65,16953,2662,4105268,Europe
Cuba,348,12,5440,385,11326616,North America
Czechia,36,89,54909,58148,10708982,Europe
Denmark,20,250,26462,5446,5792203,Europe
Ecuador,757,23,120511,14129,17643060,South America
Egypt,524,476,97643,704,102334403,Africa
El Salvador,1147,25,24995,4069,6486201,North America
Estonia,33,10,2946,832,1326539,Europe
Ethiopia,2500,52,37683,44469,114963583,Africa
Fiji,2,2,28,2,896444,Oceania
Finland,19,250,8500,3003,5540718,Europe
France,91,2782,103232,596601,65273512,Europe
Gambia,52,2,2540,971,2416664,Africa
Georgia,4,25,6119,5074,3989175,Europe
Germany,156,4072,274934,38909,83783945,Europe
Greece,25,780,1347,20295,10423056,Europe
Guinea,25,2,10304,623,13132792,Africa
Haiti,250,3,7104,1526,11402533,North America
Hungary,41,650,9683,25980,9660350,Europe
Iceland,2,680,2466,984,341250,Europe
India,6254,3385,6077976,867496,1380004385,Asia
Indonesia,1142,1319,251481,65706,273523621,Asia
Iran,325,480,403950,64010,83992953,Asia
Iraq,326,230,332330,58004,40222503,Asia
Ireland,10,650,23364,16526,4937796,Europe
Israel,13,522,225725,62209,8655541,Asia
Italy,210,1250,238525,74829,60461828,Europe
Jamaica,2,23,3142,4279,2961161,North America
Japan,127,4231,80798,6538,126476458,Asia
Jordan,12,23,6045,17772,10203140,Asia
Kazakhstan,631,65,103980,3031,18776707,Asia
Kenya,625,2,31876,8522,53771300,Africa
"Korea, South",282,1665,22693,1481,51640000,Asia
Kosovo,23,25,14282,1203,1932774,Europe
Kuwait,14,230,102722,7191,4270563,Asia
Kyrgyzstan,88,21,44227,3615,6524191,Asia
Latvia,55,2,1322,1234,1886202,Europe
Lebanon,125,23,22719,29384,6825442,Asia
Liberia,62,65,1245,36,5057677,Africa
Libya,125,23,23791,17272,6871287,Africa
Lithuania,59,2,2751,3109,2722291,Europe
Madagascar,253,2,16012,453,27691019,Africa
Malaysia,125,230,10780,4161,32365998,Asia
Maldives,2,2,9683,1142,540542,Asia
Mauritania,25,1,7266,121,4649660,Africa
Mauritius,4,5,358,27,1271767,Africa
Mexico,5991,230,689377,41309,128932753,North America
Moldova,96,2,43982,16322,4033963,Europe
Morocco,23,1,124854,22415,36910558,Africa
Nepal,2,23,74252,30818,29136808,Asia
Netherlands,250,680,4761,162509,17134873,Europe
